Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
When We Were Kings (1996),For a Few Dollars More (Per qualche dollaro in più) (1965),The Brand New Testament (2015),"Taking of Pelham 1 2 3, The (2009)",Wrinkles (Arrugas) (2011),Boniface's Holiday (1965),"Way Back, The (2010)",Operation 'Y' & Other Shurik's Adventures (1965),Shadow Conspiracy (1997),No Way Out (1987),Suspicion (1941),Frances (1982),"Goonies, The (1985)","NeverEnding Story III, The (1994)","Decline of Western Civilization, The (1981)",Lone Survivor (2013),"Fog, The (1980)",Reptilicus (1961),Barefoot (2014),Hidalgo (2004)
For All Mankind (1989),"Proposition, The (2005)",The Forbidden Dance (1990),"Mariachi, El (1992)","Batman/Superman Movie, The (1998)",Andre (1994),Crank (2006),Last Action Hero (1993),Next of Kin (1989),Prime Suspect 2 (1992),"Killers, The (1946)","Great Gatsby, The (2013)",Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981),Mighty Joe Young (1998),Hercules (1997),Pork Chop Hill (1959),Yongary: Monster from the Deep (1967),Donnie Darko (2001),Made in Heaven (1987),"Goonies, The (1985)"
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000),Jeremiah Johnson (1972),Guardians (2016),Bound (1996),Tenchi Muyô! In Love (1996),The Cave of the Golden Rose (1991),I Am Number Four (2011),Interstate 60 (2002),Swelter (2014),Rose Red (2002),Bullet to the Head (2012),"Tiger and the Snow, The (La tigre e la neve) (2005)",X-Men: Days of Future Past (2014),Ghost Dad (1990),Rock Star (2001),Assembly (Ji jie hao) (2007) ,Puppet Master 5: The Final Chapter (1994),Eve of Destruction (1991),"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981)
Steam of Life (Miesten vuoro) (2010),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",La cravate (1957),"General, The (1998)",Winnie the Pooh (2011),Seventh Son (2014),Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),Knights of Badassdom (2013),Vacancy (2007),Secret Window (2004),Jackass 3D (2010),Eastern Promises (2007),Spy (2015),Justice League: The New Frontier (2008) ,Allegro non troppo (1977),"Russians Are Coming, the Russians Are Coming, The (1966)",Flatliners (1990),Yongary: Monster from the Deep (1967),Two if by Sea (1996),X-Men: Days of Future Past (2014)
The Green Prince (2014),Last of the Dogmen (1995),Grease Live (2016),"400 Blows, The (Les quatre cents coups) (1959)",Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993),Halloweentown High (2004),Blindness (2008),It's Complicated (2009),Rawhead Rex (1986),"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Stray Dog (Nora inu) (1949),"Walk in the Clouds, A (1995)","Man, The (2005)",Dracula (Bram Stoker's Dracula) (1992),True Stories (1986),"Book Thief, The (2013)","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Puppet Master 5: The Final Chapter (1994),Prime (2005),"Wind and the Lion, The (1975)"
Unprecedented: The 2000 Presidential Election (2002),Wild Wild West (1999),A Midsummer Night's Dream (2016),Atlantic City (1980),"Rescuers, The (1977)","Batman/Superman Movie, The (1998)",Tron: Legacy (2010),Bamboozled (2000),"Taking of Pelham 1 2 3, The (2009)","Minus Man, The (1999)","This World, Then the Fireworks (1997)","Ring, The (1927)",Biker Boyz (2003),The Cave of the Golden Rose (1991),Snow White and the Seven Dwarfs (1937),Fury (2014),Howling II: Your Sister Is a Werewolf (1985),Pixels (2015),"Facing Windows (Finestra di fronte, La) (2003)","Edge, The (1997)"
Hitchcock/Truffaut (2015),"Treasure of the Sierra Madre, The (1948)",The Adventures of Sherlock Holmes and Doctor Watson,"Two Escobars, The (2010)",Futurama: The Beast with a Billion Backs (2008),Homeward Bound: The Incredible Journey (1993),"Grandmaster, The (Yi dai zong shi) (2013)","Tiger and the Snow, The (La tigre e la neve) (2005)","Mariachi, El (1992)",Palmetto (1998),M (1931),Brokeback Mountain (2005),The Crew (2016),300 (2007),Paint Your Wagon (1969),Gods and Generals (2003),Hollow Man (2000),Flatliners (1990),"Wedding Singer, The (1998)","Water Horse: Legend of the Deep, The (2007)"
Antonio Gaudí (1985),Lightning Jack (1994),The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger (1980),"Thin Man, The (1934)",Bolt (2008),Beethoven (1992),Thor (2011),The Boss Baby (2017),Bound (1996),"Moustache, La (2005)",Lost Highway (1997),Barefoot (2014),"Mariachi, El (1992)","Zero Theorem, The (2013)",Damn Yankees! (1958),Apocalypse Now (1979),Dracula (Bram Stoker's Dracula) (1992),The Hunger Games: Mockingjay - Part 2 (2015),Flesh and Bone (1993),12 Chairs (1971)
"Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003)","Outlaw Josey Wales, The (1976)",Lemonade (2016),Mesrine: Killer Instinct (L'instinct de mort) (2008),Jimmy Neutron: Boy Genius (2001),3 Ninjas Knuckle Up (1995),Africa: The Serengeti (1994),40 Days and 40 Nights (2002),Intact (Intacto) (2001),"Wicker Man, The (1973)","Grifters, The (1990)",Hidalgo (2004),"Last Castle, The (2001)",Seventh Son (2014),Camp Rock (2008),Embassy (2013),Saw VI (2009),Rampage (2018),Bound (1996),"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)"
"Decline of Western Civilization, The (1981)",A Million Ways to Die in the West (2014),Paterson,Nightcrawler (2014),Investigation Held by Kolobki (1986),Winnie the Pooh (2011),Kung Fu Panda (2008),Jack Whitehall: At Large (2017),Shiri (Swiri) (1999),The Great Hypnotist (2014),Kiss Me Deadly (1955),Rudy (1993),Taxi 2 (2000),Halloweentown High (2004),How to Succeed in Business Without Really Trying (1967),Valkyrie (2008),"Invasion, The (2007)",Ghost in the Shell (2017),Shiri (Swiri) (1999),The Hunger Games: Mockingjay - Part 2 (2015)
"Decade Under the Influence, A (2003)",Legends of the Fall (1994),Death Note: Desu nôto (2006–2007),Red Dragon (2002),101 Dalmatians (One Hundred and One Dalmatians) (1961),Where the Wild Things Are (2009),Charlie and the Chocolate Factory (2005),Anomalisa (2015),Donnie Darko (2001),"Godfather: Part III, The (1990)",Hoodlum (1997),Together (Han ni Zai Yiki) (2002),Shiri (Swiri) (1999),King Kong (1976),Cry-Baby (1990),War Machine (2017),Dolls (1987),Back to the Future Part III (1990),Between Your Legs (Entre las piernas) (1999),Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991)
Zeitgeist: Moving Forward (2011),Vampires (1998),Whiplash (2013),"Thief of Paris, The (Le voleur) (1967)","Rugrats Movie, The (1998)",Black Beauty (1994),Thor: The Dark World (2013),Barefoot (2014),Between Your Legs (Entre las piernas) (1999),'Salem's Lot (2004),Crossfire (1947),Rounders (1998),Eve of Destruction (1991),"Batman/Superman Movie, The (1998)","Wizard of Oz, The (1939)","Incredible Mr. Limpet, The (1964)",Into the Grizzly Maze (2015),Babylon 5: The Lost Tales - Voices in the Dark (2007),5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),Rampage (2018)
"Corporation, The (2003)",Red Hill (2010),A Christmas Story Live! (2017),Someone to Watch Over Me (1987),Rugrats in Paris: The Movie (2000),"Rescuers, The (1977)",Treasure Planet (2002),Tom Segura: Disgraceful (2018),Eve of Destruction (1991),"Da Vinci Code, The (2006)","Harder They Fall, The (1956)","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","Jackal, The (1997)","Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Help! (1965),Lincoln (2012),Rose Red (2002),Captain America: The Winter Soldier (2014),So I Married an Axe Murderer (1993),"NeverEnding Story III, The (1994)"
"March of the Penguins (Marche de l'empereur, La) (2005)",Jackass 3D (2010),Ethel & Ernest (2016),Sicario (2015),Afro Samurai: Resurrection (2009),Matilda (1996),Oblivion (2013),Freaked (1993),So I Married an Axe Murderer (1993),Hanna (2011),Miller's Crossing (1990),Ponette (1996),Inglourious Basterds (2009),What Dreams May Come (1998),"Prairie Home Companion, A (2006)",Henry V (1989),"Deaths of Ian Stone, The (2007)",Blade Runner (1982),Atlantic City (1980),Back to the Future Part III (1990)
Tokyo-Ga (1985),Giant (1956),Pirates of the Caribbean: Dead Men Tell No Tales (2017),American Buffalo (1996),Epic (2013),Bolt (2008),Resident Evil: Retribution (2012),Ride Along (2014),"Jackal, The (1997)",Bushwhacked (1995),"Long Goodbye, The (1973)",Swelter (2014),Mesrine: Killer Instinct (L'instinct de mort) (2008),Dune (2000),Sarah Silverman: Jesus Is Magic (2005),In the Army Now (1994),Children of the Corn II: The Final Sacrifice (1993),Justice League: The New Frontier (2008) ,Benny & Joon (1993),Mighty Joe Young (1998)
The Natural Love (1996),Take Me Home Tonight (2011),The Godfather Trilogy: 1972-1990 (1992),"Young and the Damned, The (Olvidados, Los) (1950)",Megamind (2010),Jimmy Neutron: Boy Genius (2001),T-Rex: Back to the Cretaceous (1998),"Odd Couple II, The (1998)",Dolores Claiborne (1995),Devil (2010),D.O.A. (1988),Sunshine (1999),Pixels (2015),Boccaccio '70 (1962),Muppet Treasure Island (1996),Band of Brothers (2001),"Great Yokai War, The (Yôkai daisensô) (2005)",Hollow Man (2000),Warm Bodies (2013),Scaramouche (1952)
Amy (2015),"Scalphunters, The (1968)",Black Mirror,Action Jackson (1988),"Goofy Movie, A (1995)",101 Dalmatians (One Hundred and One Dalmatians) (1961),Wrath of the Titans (2012),"Goonies, The (1985)",Mesrine: Killer Instinct (L'instinct de mort) (2008),Side Effects (2013),"Double Life, A (1947)",Million Dollar Baby (2004),"Big Bang, The (2011)",R.I.P.D. (2013),Alice in Wonderland (1951),Hotel Rwanda (2004),"Haunting, The (1999)",Limitless (2011),M. Butterfly (1993),Andre (1994)
Los Angeles Plays Itself (2003),Shanghai Noon (2000),Maria Bamford: Old Baby,Saw VI (2009),"Wild, The (2006)","Rugrats Movie, The (1998)",John Carter (2012),Marley & Me (2008),Nightcrawler (2014),Sound of My Voice (2011),"Maltese Falcon, The (1941)",Marley & Me (2008),"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)","Adventures of Baron Munchausen, The (1988)",Hitman (2007),'71 (2014),Hatchet (2006),"Zero Theorem, The (2013)",Exodus (1960),Captain America: The Winter Soldier (2014)
Into the Abyss (2011),"Apple Dumpling Gang, The (1975)",Let It Be Me (1995),Prime Suspect 2 (1992),"Incredible Mr. Limpet, The (1964)","Book Thief, The (2013)",Pinocchio (1940),"Hollywood Knights, The (1980)",Puppet Master 5: The Final Chapter (1994),"Sixth Sense, The (1999)",D.O.A. (1950),Biker Boyz (2003),Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991),"Great Yokai War, The (Yôkai daisensô) (2005)",Flying Down to Rio (1933),The Pacific (2010),Orca: The Killer Whale (1977),"Invasion, The (2007)",Fifty Shades Darker (2017),Justice League: The New Frontier (2008) 
Earth (2007),"Assassination of Jesse James by the Coward Robert Ford, The (2007)",Ben-hur (2016),Something Wild (1986),Final Flight of the Osiris (2003),"NeverEnding Story, The (1984)",300: Rise of an Empire (2014),Two if by Sea (1996),"Big Bang, The (2011)","Wicker Man, The (2006)",Too Late for Tears (1949),Prime (2005),"Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993)",Where the Wild Things Are (2009),Lagaan: Once Upon a Time in India (2001),"Deer Hunter, The (1978)",30 Days of Night (2007),Hangar 18 (1980),Malèna (2000),Christopher Columbus: The Discovery (1992)
49 Up (2005),"Claim, The (2000)",A Cosmic Christmas (1977),Black Mass (2015),Hercules (1997),Rugrats in Paris: The Movie (2000),G.I. Joe: Retaliation (2013),Ferdinand (2017),Flatliners (1990),"Prestige, The (2006)","Letter, The (1940)","Facing Windows (Finestra di fronte, La) (2003)","Devil's Own, The (1997)",Matilda (1996),South Pacific (1958),Closely Watched Trains (Ostre sledované vlaky) (1966),"Wicker Man, The (1973)",King Kong (1976),Land and Freedom (Tierra y libertad) (1995),The Cave of the Golden Rose (1991)
Kevin Hart: Laugh at My Pain (2011),"Horse Soldiers, The (1959)",Trevor Noah: African American (2013),Mississippi Burning (1988),Creature Comforts (1989),Megamind (2010),"Adventures of Tintin, The (2011)",Spy (2015),Red Dragon (2002),"Ring Two, The (2005)",Devil in a Blue Dress (1995),"Taking of Pelham 1 2 3, The (2009)",Rampage (2018),Fallen (1998),Bride & Prejudice (2004),Memphis Belle (1990),Horrors of Spider Island (Ein Toter Hing im Netz) (1960),Independence Day (a.k.a. ID4) (1996),Honey (2003),Die Hard 2 (1990)
Guerrilla: The Taking of Patty Hearst (2004),Rio Bravo (1959),Noin 7 veljestä (1968),"Child, The (L'enfant) (2005)",Captain Underpants: The First Epic Movie (2017),"Goofy Movie, A (1995)",Titanica (1992),"Man, The (2005)",I Stand Alone (Seul contre tous) (1998),"Scanner Darkly, A (2006)",You Only Live Once (1937),Flesh and Bone (1993),Someone to Watch Over Me (1987),Underworld: Awakening (2012),Guys and Dolls (1955),In Love and War (1996),Creepshow 2 (1987),Babylon 5: The Gathering (1993),Days of Being Wild (A Fei jingjyuhn) (1990),Seventh Son (2014)
Bruce Lee: A Warrior's Journey (2000),Mackenna's Gold (1969),Ali Wong: Baby Cobra (2016),Girltrash: All Night Long (2014),"Garden of Words, The (Koto no ha no niwa) (2013)","Wild, The (2006)",Jack the Giant Slayer (2013),Prime (2005),Eye for an Eye (1996),Cube Zero (2004),"Postman Always Rings Twice, The (1946)","Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)",Ghost in the Shell (2017),Beastly (2011),Cabaret (1972),Force 10 from Navarone (1978),My Name Is Bruce (2007),Dune (2000),Outsourced (2006),"Hard Day's Night, A (1964)"
"Eyes of Tammy Faye, The (2000)",Dances with Wolves (1990),,"Green Butchers, The (Grønne slagtere, De) (2003)",Allegro non troppo (1977),Sisters (2015),Poseidon (2006),Road to Morocco (1942),"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Killer Movie (2008),Angel Heart (1987),In the Name of the Father (1993),Mighty Joe Young (1998),"Beastmaster, The (1982)",Jesus Christ Superstar (1973),Behind Enemy Lines II: Axis of Evil (2006),The Plague of the Zombies (1966),Hot Tub Time Machine 2 (2015),My Boss's Daughter (2003),Halloweentown High (2004)
Home (2009),Near Dark (1987),,Stealing Harvard (2002),Summer Wars (Samâ wôzu) (2009),Hercules (1997),Spider-Man 3 (2007),"Wedding Singer, The (1998)","Devil's Own, The (1997)",Scoop (2006),Tinker Tailor Soldier Spy (2011),Bound (1996),Captain America: The Winter Soldier (2014),"NeverEnding Story, The (1984)",Can't Stop the Music (1980),Hiroshima Mon Amour (1959),Underworld: Awakening (2012),Star Trek: Insurrection (1998),Say Anything... (1989),King Kong (1976)
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),Calamity Jane (1953),,Shattered Glass (2003),Snow White and the Seven Dwarfs (1937),Captain Underpants: The First Epic Movie (2017),Star Trek Into Darkness (2013),"Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)",Someone to Watch Over Me (1987),11:14 (2003),"Lady from Shanghai, The (1947)",Berlin Calling (2008),Naked Gun 33 1/3: The Final Insult (1994),Black Knight (2001),Kiss Me Kate (1953),Saints and Soldiers (2003),"Killer Shrews, The (1959)",Horrors of Spider Island (Ein Toter Hing im Netz) (1960),Dear John (2010),"Batman/Superman Movie, The (1998)"
"Original Kings of Comedy, The (2000)","Alamo, The (1960)",,"Equalizer, The (2014)",Green Lantern: First Flight (2009),Bogus (1996),Final Destination 5 (2011),High Spirits (1988),Mighty Joe Young (1998),Three Days of the Condor (3 Days of the Condor) (1975),Brick (2005),Like Stars on Earth (Taare Zameen Par) (2007),Blade Runner (1982),Dead Like Me: Life After Death (2009),1776 (1972),Rescue Dawn (2006),"Stendhal Syndrome, The (Sindrome di Stendhal, La) (1996)",Futurama: The Beast with a Billion Backs (2008),Sleepless in Seattle (1993),What Dreams May Come (1998)
"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders (2006)",She Wore a Yellow Ribbon (1949),,Suspect Zero (2004),"Scanner Darkly, A (2006)",Babe: Pig in the City (1998),Maleficent (2014),Daria: Is It Fall Yet? (2000),"Long Good Friday, The (1980)",Man on Fire (2004),Suture (1993),Midnight Special (2015),Justice League: The New Frontier (2008) ,Willy/Milly (1986),Robin Hood (1973),Battle For Sevastopol (2015),Mary Reilly (1996),Dredd (2012),Boniface's Holiday (1965),Homeward Bound: The Incredible Journey (1993)
"Blood of the Beasts (Sang des bêtes, Le) (1949)",Bring It On Again (2004),,Confessions of a Dangerous Mind (2002),Fullmetal Alchemist: The Sacred Star of Milos (2011),Snow White and the Seven Dwarfs (1937),Prometheus (2012),Spy Hard (1996),City Hall (1996),Memories of Murder (Salinui chueok) (2003),"Big Sleep, The (1946)","400 Blows, The (Les quatre cents coups) (1959)",Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),Drop Dead Fred (1991),Dr. Horrible's Sing-Along Blog (2008),"Objective, Burma! (1945)",I Am Legend (2007),"Killer Shrews, The (1959)",Scaramouche (1952),"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)"
35 Up (1991),I Shot Jesse James (1949),,Palmetto (1998),Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),St. Trinian's (2007),Prince of Persia: The Sands of Time (2010),Berlin Calling (2008),"Life Less Ordinary, A (1997)","Master of Disguise, The (2002)",Drive (2011),"Edge, The (1997)",Safety Last! (1923),Epic (2013),Marat/Sade (1966),"Lust, Caution (Se, jie) (2007)",Walled In (2009),"Incredible Shrinking Man, The (1957)","Life Less Ordinary, A (1997)",Independence Day (a.k.a. ID4) (1996)
Paper Heart (2009),Alvarez Kelly (1966),,Polytechnique (2009),Return to Treasure Island (1988),Snow Dogs (2002),Speed Racer (2008),If I Were a Rich Man (2002),Blade Runner (1982),True Story (2015),In a Lonely Place (1950),Shiri (Swiri) (1999),Action Jackson (1988),Conan the Barbarian (1982),Garage Days (2002),Red Dawn (1984),'Salem's Lot (2004),World on a Wire (Welt am Draht) (1973),Like Crazy (2011),Fool's Gold (2008)
Blue Collar Comedy Tour: The Movie (2003),Cat Ballou (1965),,Hard-Boiled (Lat sau san taam) (1992),Sing (2016),Agent Cody Banks 2: Destination London (2004),Little Buddha (1993),Taxi 2 (2000),Hollow Man (2000),The Commuter (2018),Blood Simple (1984),To Kill a Mockingbird (1962),Die Hard 2 (1990),"Wild, The (2006)","Jazz Singer, The (1927)",Guy X (2005),"Ilsa, She Wolf of the SS (1974)",I Am Legend (2007),When Harry Met Sally... (1989),"Adventures of Baron Munchausen, The (1988)"
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Bad Girls (1994),,"Rescuers, The (1977)",Shaun the Sheep Movie (2015),Lemony Snicket's A Series of Unfortunate Events (2004),Cowboys & Aliens (2011),In a World... (2013),Dracula (Bram Stoker's Dracula) (1992),Mulholland Drive (2001),"Trou, Le (Hole, The) (Night Watch, The) (1960)",Donnie Darko (2001),"A-Team, The (2010)","Wings of Desire (Himmel über Berlin, Der) (1987)","Mambo Kings, The (1992)","Cranes Are Flying, The (Letyat zhuravli) (1957)",Misery (1990),Superman II (1980),Dracula (Bram Stoker's Dracula) (1992),"Great Yokai War, The (Yôkai daisensô) (2005)"
"Devil and Daniel Johnston, The (2005)","Burrowers, The (2008)",,Fallen (1998),Charlotte's Web (1973),Far From Home: The Adventures of Yellow Dog (1995),Avatar (2009),Meet the Spartans (2008),La Belle Verte (1996),"Andromeda Strain, The (1971)",Laura (1944),Between Your Legs (Entre las piernas) (1999),300 (2007),Batman v Superman: Dawn of Justice (2016),'Round Midnight (1986),"Longest Day, The (1962)","Descent, The (2005)","Giver, The (2014)","Rose Tattoo, The (1955)",Adventures in Babysitting (1987)
Darkon (2006),"Magnificent Seven, The (1960)",,Heavenly Creatures (1994),Steamboy (Suchîmubôi) (2004),G-Force (2009),"Twilight Saga: Breaking Dawn - Part 2, The (2012)","Muppets, The (2011)",Action Jackson (1988),In the Cut (2003),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),Lone Survivor (2013),Teen Wolf (1985),Chicago (2002),King Arthur (2004),"Eyes Without a Face (Yeux sans visage, Les) (1959)",Rollerball (2002),"Tall Guy, The (1989)",Where the Wild Things Are (2009)
Africa: The Serengeti (1994),Sukiyaki Western Django (2008),,Hamlet (1996),Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987),Home Alone 3 (1997),Super 8 (2011),So I Married an Axe Murderer (1993),Saw VI (2009),Blindness (2008),Chinatown (1974),What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004),"Invasion, The (2007)",Endless Poetry (2016),Frosty the Snowman (1969),Slaughterhouse-Five (1972),1408 (2007),eXistenZ (1999),Safety Last! (1923),"Emerald Forest, The (1985)"
